Number,Name,Type,Species,Height,Weight,Description,Abilities,Stats,Moves
31,Nidoqueen,"Poison, Ground","Drill Pokémon","1.3m (4′03″)","60.0kg (132.3lbs)","Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.","Poison Point, Rivalry, Sheer Force (hidden ability)","HP: 90; Attack: 92; Defense: 87; Sp. Atk: 75; Sp. Def: 85; Speed: 76; Total: 505","LVL: 1, Move: Bite, Type: Dark, Power: 60, Accuracy: 100; LVL: 1, Move: Crunch, Type: Dark, Power: 80, Accuracy: 100; LVL: 1, Move: Double Kick, Type: Fighting, Power: 30, Accuracy: 100; LVL: 1, Move: Earth Power, Type: Ground, Power: 90, Accuracy: 100; LVL: 1, Move: Flatter, Type: Dark, Power: —, Accuracy: 100; LVL: 1, Move: Fury Swipes, Type: Normal, Power: 18, Accuracy: 80; LVL: 1, Move: Growl, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Helping Hand, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Poison Sting, Type: Poison, Power: 15, Accuracy: 100; LVL: 1, Move: Scratch, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Sludge Wave, Type: Poison, Power: 95, Accuracy: 100; LVL: 1, Move: Superpower, Type: Fighting, Power: 120, Accuracy: 100; LVL: 1, Move: Tail Whip, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Toxic, Type: Poison, Power: —, Accuracy: 90; LVL: 1, Move: Toxic Spikes, Type: Poison, Power: —, Accuracy: —; LVL: 1, Move: Bite, Type: Dark, Power: 60, Accuracy: 100; LVL: 1, Move: Crunch, Type: Dark, Power: 80, Accuracy: 100; LVL: 1, Move: Double Kick, Type: Fighting, Power: 30, Accuracy: 100; LVL: 1, Move: Earth Power, Type: Ground, Power: 90, Accuracy: 100; LVL: 1, Move: Flatter, Type: Dark, Power: —, Accuracy: 100; LVL: 1, Move: Fury Swipes, Type: Normal, Power: 18, Accuracy: 80; LVL: 1, Move: Growl, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Helping Hand, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Poison Sting, Type: Poison, Power: 15, Accuracy: 100; LVL: 1, Move: Scratch, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Superpower, Type: Fighting, Power: 120, Accuracy: 100; LVL: 1, Move: Tail Whip, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Toxic, Type: Poison, Power: —, Accuracy: 90; LVL: 1, Move: Toxic Spikes, Type: Poison, Power: —, Accuracy: —"
32,Nidoran♂ (male),"Poison","Poison Pin Pokémon","0.5m (1′08″)","9.0kg (19.8lbs)","Stiffens its ears to sense danger. The larger its horns, the more powerful its secreted venom.","Poison Point, Rivalry, Hustle (hidden ability)","HP: 46; Attack: 57; Defense: 40; Sp. Atk: 40; Sp. Def: 40; Speed: 50; Total: 273","LVL: 1, Move: Leer, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Poison Sting, Type: Poison, Power: 15, Accuracy: 100; LVL: 5, Move: Peck, Type: Flying, Power: 35, Accuracy: 100; LVL: 10, Move: Focus Energy, Type: Normal, Power: —, Accuracy: —; LVL: 15, Move: Fury Attack, Type: Normal, Power: 15, Accuracy: 85; LVL: 20, Move: Toxic Spikes, Type: Poison, Power: —, Accuracy: —; LVL: 25, Move: Double Kick, Type: Fighting, Power: 30, Accuracy: 100; LVL: 30, Move: Horn Attack, Type: Normal, Power: 65, Accuracy: 100; LVL: 35, Move: Helping Hand, Type: Normal, Power: —, Accuracy: —; LVL: 40, Move: Toxic, Type: Poison, Power: —, Accuracy: 90; LVL: 45, Move: Flatter, Type: Dark, Power: —, Accuracy: 100; LVL: 50, Move: Poison Jab, Type: Poison, Power: 80, Accuracy: 100; LVL: 55, Move: Earth Power, Type: Ground, Power: 90, Accuracy: 100; LVL: 1, Move: Leer, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Poison Sting, Type: Poison, Power: 15, Accuracy: 100; LVL: 5, Move: Peck, Type: Flying, Power: 35, Accuracy: 100; LVL: 10, Move: Focus Energy, Type: Normal, Power: —, Accuracy: —; LVL: 15, Move: Fury Attack, Type: Normal, Power: 15, Accuracy: 85; LVL: 20, Move: Toxic Spikes, Type: Poison, Power: —, Accuracy: —; LVL: 25, Move: Double Kick, Type: Fighting, Power: 30, Accuracy: 100; LVL: 30, Move: Horn Attack, Type: Normal, Power: 65, Accuracy: 100; LVL: 35, Move: Helping Hand, Type: Normal, Power: —, Accuracy: —; LVL: 40, Move: Toxic, Type: Poison, Power: —, Accuracy: 90; LVL: 45, Move: Flatter, Type: Dark, Power: —, Accuracy: 100; LVL: 50, Move: Poison Jab, Type: Poison, Power: 80, Accuracy: 100; LVL: 55, Move: Earth Power, Type: Ground, Power: 90, Accuracy: 100"
33,Nidorino,"Poison","Poison Pin Pokémon","0.9m (2′11″)","19.5kg (43.0lbs)","An aggressive POKéMON that is quick to attack. The horn on its head secretes a powerful venom.","Poison Point, Rivalry, Hustle (hidden ability)","HP: 61; Attack: 72; Defense: 57; Sp. Atk: 55; Sp. Def: 55; Speed: 65; Total: 365","LVL: 1, Move: Focus Energy, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Leer, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Peck, Type: Flying, Power: 35, Accuracy: 100; LVL: 1, Move: Poison Sting, Type: Poison, Power: 15, Accuracy: 100; LVL: 15, Move: Fury Attack, Type: Normal, Power: 15, Accuracy: 85; LVL: 22, Move: Toxic Spikes, Type: Poison, Power: —, Accuracy: —; LVL: 29, Move: Double Kick, Type: Fighting, Power: 30, Accuracy: 100; LVL: 36, Move: Horn Attack, Type: Normal, Power: 65, Accuracy: 100; LVL: 43, Move: Helping Hand, Type: Normal, Power: —, Accuracy: —; LVL: 50, Move: Toxic, Type: Poison, Power: —, Accuracy: 90; LVL: 57, Move: Flatter, Type: Dark, Power: —, Accuracy: 100; LVL: 64, Move: Poison Jab, Type: Poison, Power: 80, Accuracy: 100; LVL: 71, Move: Earth Power, Type: Ground, Power: 90, Accuracy: 100; LVL: 1, Move: Focus Energy, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Leer, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Peck, Type: Flying, Power: 35, Accuracy: 100; LVL: 1, Move: Poison Sting, Type: Poison, Power: 15, Accuracy: 100; LVL: 15, Move: Fury Attack, Type: Normal, Power: 15, Accuracy: 85; LVL: 22, Move: Toxic Spikes, Type: Poison, Power: —, Accuracy: —; LVL: 29, Move: Double Kick, Type: Fighting, Power: 30, Accuracy: 100; LVL: 36, Move: Horn Attack, Type: Normal, Power: 65, Accuracy: 100; LVL: 43, Move: Helping Hand, Type: Normal, Power: —, Accuracy: —; LVL: 50, Move: Toxic, Type: Poison, Power: —, Accuracy: 90; LVL: 57, Move: Flatter, Type: Dark, Power: —, Accuracy: 100; LVL: 64, Move: Poison Jab, Type: Poison, Power: 80, Accuracy: 100; LVL: 71, Move: Earth Power, Type: Ground, Power: 90, Accuracy: 100"
34,Nidoking,"Poison, Ground","Drill Pokémon","1.4m (4′07″)","62.0kg (136.7lbs)","It uses its powerful tail in battle to smash, constrict, then break the prey’s bones.","Poison Point, Rivalry, Sheer Force (hidden ability)","HP: 81; Attack: 102; Defense: 77; Sp. Atk: 85; Sp. Def: 75; Speed: 85; Total: 505","LVL: 1, Move: Double Kick, Type: Fighting, Power: 30, Accuracy: 100; LVL: 1, Move: Earth Power, Type: Ground, Power: 90, Accuracy: 100; LVL: 1, Move: Flatter, Type: Dark, Power: —, Accuracy: 100; LVL: 1, Move: Focus Energy, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Fury Attack, Type: Normal, Power: 15, Accuracy: 85; LVL: 1, Move: Helping Hand, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Horn Attack, Type: Normal, Power: 65, Accuracy: 100; LVL: 1, Move: Leer, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Megahorn, Type: Bug, Power: 120, Accuracy: 85; LVL: 1, Move: Peck, Type: Flying, Power: 35, Accuracy: 100; LVL: 1, Move: Poison Jab, Type: Poison, Power: 80, Accuracy: 100; LVL: 1, Move: Poison Sting, Type: Poison, Power: 15, Accuracy: 100; LVL: 1, Move: Sludge Wave, Type: Poison, Power: 95, Accuracy: 100; LVL: 1, Move: Toxic, Type: Poison, Power: —, Accuracy: 90; LVL: 1, Move: Toxic Spikes, Type: Poison, Power: —, Accuracy: —; LVL: 1, Move: Double Kick, Type: Fighting, Power: 30, Accuracy: 100; LVL: 1, Move: Earth Power, Type: Ground, Power: 90, Accuracy: 100; LVL: 1, Move: Flatter, Type: Dark, Power: —, Accuracy: 100; LVL: 1, Move: Focus Energy, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Fury Attack, Type: Normal, Power: 15, Accuracy: 85; LVL: 1, Move: Helping Hand, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Horn Attack, Type: Normal, Power: 65, Accuracy: 100; LVL: 1, Move: Leer, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Megahorn, Type: Bug, Power: 120, Accuracy: 85; LVL: 1, Move: Peck, Type: Flying, Power: 35, Accuracy: 100; LVL: 1, Move: Poison Jab, Type: Poison, Power: 80, Accuracy: 100; LVL: 1, Move: Poison Sting, Type: Poison, Power: 15, Accuracy: 100; LVL: 1, Move: Toxic, Type: Poison, Power: —, Accuracy: 90; LVL: 1, Move: Toxic Spikes, Type: Poison, Power: —, Accuracy: —"
35,Clefairy,"Fairy","Fairy Pokémon","0.6m (2′00″)","7.5kg (16.5lbs)","Its magical and cute appeal has many admirers. It is rare and found only in certain areas.","Cute Charm, Magic Guard, Friend Guard (hidden ability)","HP: 70; Attack: 45; Defense: 48; Sp. Atk: 60; Sp. Def: 65; Speed: 35; Total: 323","LVL: 1, Move: Charm, Type: Fairy, Power: —, Accuracy: 100; LVL: 1, Move: Copycat, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Defense Curl, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Disarming Voice, Type: Fairy, Power: 40, Accuracy: ∞; LVL: 1, Move: Growl, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Pound, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Sing, Type: Normal, Power: —, Accuracy: 55; LVL: 1, Move: Splash, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Sweet Kiss, Type: Fairy, Power: —, Accuracy: 75; LVL: 4, Move: Stored Power, Type: Psychic, Power: 20, Accuracy: 100; LVL: 8, Move: Encore, Type: Normal, Power: —, Accuracy: 100; LVL: 12, Move: After You, Type: Normal, Power: —, Accuracy: —; LVL: 16, Move: Life Dew, Type: Water, Power: —, Accuracy: —; LVL: 20, Move: Metronome, Type: Normal, Power: —, Accuracy: —; LVL: 24, Move: Moonlight, Type: Fairy, Power: —, Accuracy: —; LVL: 28, Move: Gravity, Type: Psychic, Power: —, Accuracy: —; LVL: 32, Move: Meteor Mash, Type: Steel, Power: 90, Accuracy: 90; LVL: 36, Move: Follow Me, Type: Normal, Power: —, Accuracy: —; LVL: 40, Move: Cosmic Power, Type: Psychic, Power: —, Accuracy: —; LVL: 44, Move: Moonblast, Type: Fairy, Power: 95, Accuracy: 100; LVL: 48, Move: Healing Wish, Type: Psychic, Power: —, Accuracy: —; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 5, Move: Fairy Wind, Type: Fairy, Power: 40, Accuracy: 100; LVL: 9, Move: Baby-Doll Eyes, Type: Fairy, Power: —, Accuracy: 100; LVL: 15, Move: Draining Kiss, Type: Fairy, Power: 50, Accuracy: 100; LVL: 21, Move: Calm Mind, Type: Psychic, Power: —, Accuracy: —; LVL: 29, Move: Psychic, Type: Psychic, Power: 90, Accuracy: 100; LVL: 37, Move: Moonblast, Type: Fairy, Power: 95, Accuracy: 100; LVL: 47, Move: Double-Edge, Type: Normal, Power: 120, Accuracy: 100"
36,Clefable,"Fairy","Fairy Pokémon","1.3m (4′03″)","40.0kg (88.2lbs)","A timid fairy POKéMON that is rarely seen. It will run and hide the moment it senses people.","Cute Charm, Magic Guard, Unaware (hidden ability)","HP: 95; Attack: 70; Defense: 73; Sp. Atk: 95; Sp. Def: 90; Speed: 60; Total: 483","LVL: 1, Move: Life Dew, Type: Water, Power: —, Accuracy: —; LVL: 1, Move: Meteor Mash, Type: Steel, Power: 90, Accuracy: 90; LVL: 1, Move: Metronome, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Moonblast, Type: Fairy, Power: 95, Accuracy: 100; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 5, Move: Fairy Wind, Type: Fairy, Power: 40, Accuracy: 100; LVL: 9, Move: Baby-Doll Eyes, Type: Fairy, Power: —, Accuracy: 100; LVL: 15, Move: Draining Kiss, Type: Fairy, Power: 50, Accuracy: 100; LVL: 21, Move: Calm Mind, Type: Psychic, Power: —, Accuracy: —; LVL: 29, Move: Psychic, Type: Psychic, Power: 90, Accuracy: 100; LVL: 37, Move: Moonblast, Type: Fairy, Power: 95, Accuracy: 100; LVL: 47, Move: Double-Edge, Type: Normal, Power: 120, Accuracy: 100"
37,Vulpix,"Fire","Fox Pokémon","0.6m (2′00″)","9.9kg (21.8lbs)","At the time of birth, it has just one tail. The tail splits from its tip as it grows older.","Flash Fire, Drought (hidden ability)","HP: 38; Attack: 41; Defense: 40; Sp. Atk: 50; Sp. Def: 65; Speed: 65; Total: 299",""
38,Ninetales,"Fire","Fox Pokémon","1.1m (3′07″)","19.9kg (43.9lbs)","Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse.","Flash Fire, Drought (hidden ability)","HP: 73; Attack: 76; Defense: 75; Sp. Atk: 81; Sp. Def: 100; Speed: 100; Total: 505",""
39,Jigglypuff,"Normal, Fairy","Balloon Pokémon","0.5m (1′08″)","5.5kg (12.1lbs)","When its huge eyes light up, it sings a mysteriously soothing melody that lulls its enemies to sleep.","Cute Charm, Competitive, Friend Guard (hidden ability)","HP: 115; Attack: 45; Defense: 20; Sp. Atk: 45; Sp. Def: 25; Speed: 20; Total: 270","LVL: 1, Move: Charm, Type: Fairy, Power: —, Accuracy: 100; LVL: 1, Move: Copycat, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Defense Curl, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Disable, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Disarming Voice, Type: Fairy, Power: 40, Accuracy: ∞; LVL: 1, Move: Pound, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Sing, Type: Normal, Power: —, Accuracy: 55; LVL: 1, Move: Sweet Kiss, Type: Fairy, Power: —, Accuracy: 75; LVL: 4, Move: Echoed Voice, Type: Normal, Power: 40, Accuracy: 100; LVL: 8, Move: Covet, Type: Normal, Power: 60, Accuracy: 100; LVL: 12, Move: Spit Up, Type: Normal, Power: —, Accuracy: 100; LVL: 12, Move: Stockpile, Type: Normal, Power: —, Accuracy: —; LVL: 12, Move: Swallow, Type: Normal, Power: —, Accuracy: —; LVL: 16, Move: Round, Type: Normal, Power: 60, Accuracy: 100; LVL: 20, Move: Rest, Type: Psychic, Power: —, Accuracy: —; LVL: 24, Move: Body Slam, Type: Normal, Power: 85, Accuracy: 100; LVL: 28, Move: Mimic, Type: Normal, Power: —, Accuracy: —; LVL: 32, Move: Gyro Ball, Type: Steel, Power: —, Accuracy: 100; LVL: 36, Move: Hyper Voice, Type: Normal, Power: 90, Accuracy: 100; LVL: 44, Move: Double-Edge, Type: Normal, Power: 120, Accuracy: 100; LVL: 1, Move: Charm, Type: Fairy, Power: —, Accuracy: 100; LVL: 1, Move: Copycat, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Defense Curl, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Disable, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Disarming Voice, Type: Fairy, Power: 40, Accuracy: ∞; LVL: 1, Move: Pound, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Sing, Type: Normal, Power: —, Accuracy: 55; LVL: 1, Move: Sweet Kiss, Type: Fairy, Power: —, Accuracy: 75; LVL: 4, Move: Echoed Voice, Type: Normal, Power: 40, Accuracy: 100; LVL: 8, Move: Covet, Type: Normal, Power: 60, Accuracy: 100; LVL: 12, Move: Spit Up, Type: Normal, Power: —, Accuracy: 100; LVL: 12, Move: Stockpile, Type: Normal, Power: —, Accuracy: —; LVL: 12, Move: Swallow, Type: Normal, Power: —, Accuracy: —; LVL: 16, Move: Round, Type: Normal, Power: 60, Accuracy: 100; LVL: 20, Move: Rest, Type: Psychic, Power: —, Accuracy: —; LVL: 24, Move: Body Slam, Type: Normal, Power: 85, Accuracy: 100; LVL: 28, Move: Mimic, Type: Normal, Power: —, Accuracy: —; LVL: 32, Move: Gyro Ball, Type: Steel, Power: —, Accuracy: 100; LVL: 36, Move: Hyper Voice, Type: Normal, Power: 90, Accuracy: 100; LVL: 40, Move: Play Rough, Type: Fairy, Power: 90, Accuracy: 90; LVL: 44, Move: Double-Edge, Type: Normal, Power: 120, Accuracy: 100"
40,Wigglytuff,"Normal, Fairy","Balloon Pokémon","1.0m (3′03″)","12.0kg (26.5lbs)","The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size.","Cute Charm, Competitive, Frisk (hidden ability)","HP: 140; Attack: 70; Defense: 45; Sp. Atk: 85; Sp. Def: 50; Speed: 45; Total: 435","LVL: 1, Move: Body Slam, Type: Normal, Power: 85, Accuracy: 100; LVL: 1, Move: Charm, Type: Fairy, Power: —, Accuracy: 100; LVL: 1, Move: Copycat, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Covet, Type: Normal, Power: 60, Accuracy: 100; LVL: 1, Move: Defense Curl, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Disable, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Disarming Voice, Type: Fairy, Power: 40, Accuracy: ∞; LVL: 1, Move: Double-Edge, Type: Normal, Power: 120, Accuracy: 100; LVL: 1, Move: Echoed Voice, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Gyro Ball, Type: Steel, Power: —, Accuracy: 100; LVL: 1, Move: Hyper Voice, Type: Normal, Power: 90, Accuracy: 100; LVL: 1, Move: Mimic, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Pound, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Rest, Type: Psychic, Power: —, Accuracy: —; LVL: 1, Move: Round, Type: Normal, Power: 60, Accuracy: 100; LVL: 1, Move: Sing, Type: Normal, Power: —, Accuracy: 55; LVL: 1, Move: Spit Up, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Stockpile, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Swallow, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Sweet Kiss, Type: Fairy, Power: —, Accuracy: 75; LVL: 5, Move: Play Rough, Type: Fairy, Power: 90, Accuracy: 90; LVL: 1, Move: Body Slam, Type: Normal, Power: 85, Accuracy: 100; LVL: 1, Move: Charm, Type: Fairy, Power: —, Accuracy: 100; LVL: 1, Move: Copycat, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Covet, Type: Normal, Power: 60, Accuracy: 100; LVL: 1, Move: Defense Curl, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Disable, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Disarming Voice, Type: Fairy, Power: 40, Accuracy: ∞; LVL: 1, Move: Double-Edge, Type: Normal, Power: 120, Accuracy: 100; LVL: 1, Move: Echoed Voice, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Gyro Ball, Type: Steel, Power: —, Accuracy: 100; LVL: 1, Move: Hyper Voice, Type: Normal, Power: 90, Accuracy: 100; LVL: 1, Move: Mimic, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Play Rough, Type: Fairy, Power: 90, Accuracy: 90; LVL: 1, Move: Pound, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Rest, Type: Psychic, Power: —, Accuracy: —; LVL: 1, Move: Round, Type: Normal, Power: 60, Accuracy: 100; LVL: 1, Move: Sing, Type: Normal, Power: —, Accuracy: 55; LVL: 1, Move: Spit Up, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Stockpile, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Swallow, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Sweet Kiss, Type: Fairy, Power: —, Accuracy: 75"
41,Zubat,"Poison, Flying","Bat Pokémon","0.8m (2′07″)","7.5kg (16.5lbs)","Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets.","Inner Focus, Infiltrator (hidden ability)","HP: 40; Attack: 45; Defense: 35; Sp. Atk: 30; Sp. Def: 40; Speed: 55; Total: 245","LVL: 1, Move: Absorb, Type: Grass, Power: 20, Accuracy: 100; LVL: 1, Move: Supersonic, Type: Normal, Power: —, Accuracy: 55; LVL: 5, Move: Astonish, Type: Ghost, Power: 30, Accuracy: 100; LVL: 10, Move: Mean Look, Type: Normal, Power: —, Accuracy: —; LVL: 15, Move: Poison Fang, Type: Poison, Power: 50, Accuracy: 100; LVL: 20, Move: Quick Guard, Type: Fighting, Power: —, Accuracy: —; LVL: 25, Move: Air Cutter, Type: Flying, Power: 60, Accuracy: 95; LVL: 30, Move: Bite, Type: Dark, Power: 60, Accuracy: 100; LVL: 35, Move: Haze, Type: Ice, Power: —, Accuracy: —; LVL: 40, Move: Venoshock, Type: Poison, Power: 65, Accuracy: 100; LVL: 45, Move: Confuse Ray, Type: Ghost, Power: —, Accuracy: 100; LVL: 50, Move: Air Slash, Type: Flying, Power: 75, Accuracy: 95; LVL: 55, Move: Leech Life, Type: Bug, Power: 80, Accuracy: 100; LVL: 1, Move: Gust, Type: Flying, Power: 40, Accuracy: 100; LVL: 6, Move: Hypnosis, Type: Psychic, Power: —, Accuracy: 60; LVL: 11, Move: Bite, Type: Dark, Power: 60, Accuracy: 100; LVL: 18, Move: Air Cutter, Type: Flying, Power: 60, Accuracy: 95; LVL: 25, Move: Cross Poison, Type: Poison, Power: 70, Accuracy: 100; LVL: 34, Move: Air Slash, Type: Flying, Power: 75, Accuracy: 95; LVL: 43, Move: Leech Life, Type: Bug, Power: 80, Accuracy: 100"
42,Golbat,"Poison, Flying","Bat Pokémon","1.6m (5′03″)","55.0kg (121.3lbs)","Once it strikes, it will not stop draining energy from the victim even if it gets too heavy to fly.","Inner Focus, Infiltrator (hidden ability)","HP: 75; Attack: 80; Defense: 70; Sp. Atk: 65; Sp. Def: 75; Speed: 90; Total: 455","LVL: 1, Move: Absorb, Type: Grass, Power: 20, Accuracy: 100; LVL: 1, Move: Astonish, Type: Ghost, Power: 30, Accuracy: 100; LVL: 1, Move: Mean Look, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Screech, Type: Normal, Power: —, Accuracy: 85; LVL: 1, Move: Supersonic, Type: Normal, Power: —, Accuracy: 55; LVL: 15, Move: Poison Fang, Type: Poison, Power: 50, Accuracy: 100; LVL: 20, Move: Quick Guard, Type: Fighting, Power: —, Accuracy: —; LVL: 27, Move: Air Cutter, Type: Flying, Power: 60, Accuracy: 95; LVL: 34, Move: Bite, Type: Dark, Power: 60, Accuracy: 100; LVL: 41, Move: Haze, Type: Ice, Power: —, Accuracy: —; LVL: 48, Move: Venoshock, Type: Poison, Power: 65, Accuracy: 100; LVL: 55, Move: Confuse Ray, Type: Ghost, Power: —, Accuracy: 100; LVL: 62, Move: Air Slash, Type: Flying, Power: 75, Accuracy: 95; LVL: 69, Move: Leech Life, Type: Bug, Power: 80, Accuracy: 100; LVL: 1, Move: Gust, Type: Flying, Power: 40, Accuracy: 100; LVL: 6, Move: Hypnosis, Type: Psychic, Power: —, Accuracy: 60; LVL: 11, Move: Bite, Type: Dark, Power: 60, Accuracy: 100; LVL: 18, Move: Air Cutter, Type: Flying, Power: 60, Accuracy: 95; LVL: 25, Move: Cross Poison, Type: Poison, Power: 70, Accuracy: 100; LVL: 34, Move: Air Slash, Type: Flying, Power: 75, Accuracy: 95; LVL: 43, Move: Leech Life, Type: Bug, Power: 80, Accuracy: 100"
43,Oddish,"Grass, Poison","Weed Pokémon","0.5m (1′08″)","5.4kg (11.9lbs)","During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds.","Chlorophyll, Run Away (hidden ability)","HP: 45; Attack: 50; Defense: 55; Sp. Atk: 75; Sp. Def: 65; Speed: 30; Total: 320","LVL: 1, Move: Absorb, Type: Grass, Power: 20, Accuracy: 100; LVL: 1, Move: Growth, Type: Normal, Power: —, Accuracy: —; LVL: 4, Move: Acid, Type: Poison, Power: 40, Accuracy: 100; LVL: 8, Move: Sweet Scent, Type: Normal, Power: —, Accuracy: 100; LVL: 12, Move: Mega Drain, Type: Grass, Power: 40, Accuracy: 100; LVL: 14, Move: Poison Powder, Type: Poison, Power: —, Accuracy: 75; LVL: 16, Move: Stun Spore, Type: Grass, Power: —, Accuracy: 75; LVL: 18, Move: Sleep Powder, Type: Grass, Power: —, Accuracy: 75; LVL: 20, Move: Giga Drain, Type: Grass, Power: 75, Accuracy: 100; LVL: 24, Move: Toxic, Type: Poison, Power: —, Accuracy: 90; LVL: 28, Move: Moonblast, Type: Fairy, Power: 95, Accuracy: 100; LVL: 32, Move: Grassy Terrain, Type: Grass, Power: —, Accuracy: —; LVL: 36, Move: Moonlight, Type: Fairy, Power: —, Accuracy: —; LVL: 40, Move: Petal Dance, Type: Grass, Power: 120, Accuracy: 100; LVL: 1, Move: Absorb, Type: Grass, Power: 20, Accuracy: 100; LVL: 1, Move: Growth, Type: Normal, Power: —, Accuracy: —; LVL: 4, Move: Acid, Type: Poison, Power: 40, Accuracy: 100; LVL: 8, Move: Sweet Scent, Type: Normal, Power: —, Accuracy: 100; LVL: 12, Move: Mega Drain, Type: Grass, Power: 40, Accuracy: 100; LVL: 14, Move: Poison Powder, Type: Poison, Power: —, Accuracy: 75; LVL: 16, Move: Stun Spore, Type: Grass, Power: —, Accuracy: 75; LVL: 18, Move: Sleep Powder, Type: Grass, Power: —, Accuracy: 75; LVL: 20, Move: Giga Drain, Type: Grass, Power: 75, Accuracy: 100; LVL: 24, Move: Toxic, Type: Poison, Power: —, Accuracy: 90; LVL: 28, Move: Moonblast, Type: Fairy, Power: 95, Accuracy: 100; LVL: 32, Move: Grassy Terrain, Type: Grass, Power: —, Accuracy: —; LVL: 36, Move: Moonlight, Type: Fairy, Power: —, Accuracy: —; LVL: 40, Move: Petal Dance, Type: Grass, Power: 120, Accuracy: 100"
